season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0034798,43,6.604651162790698,4,15,18,12,13,5,0.09302325581395349,0.3488372093023256,0.4186046511627907,0.27906976744186046,0.3023255813953488,0.11627906976744186,0.20930232558139536,0.11627906976744186,0.023255813953488372,0.32558139534883723,0.32558139534883723,0
2023,00-0034827,138,10.852941176470589,34,36,64,22,50,14,0.2463768115942029,0.2608695652173913,0.463768115942029,0.15942028985507245,0.36231884057971014,0.10144927536231885,0.1791044776119403,0.26119402985074625,0.14925373134328357,0.16417910447761194,0.2462686567164179,0
2023,00-0034829,46,8.511111111111111,7,19,24,10,11,7,0.15217391304347827,0.41304347826086957,0.5217391304347826,0.21739130434782608,0.2391304347826087,0.15217391304347827,0.25,0.25,0,0.2727272727272727,0.22727272727272727,0
2023,00-0034830,32,7.5625,4,12,8,13,11,5,0.125,0.375,0.25,0.40625,0.34375,0.15625,0.25,0.21875,0,0.40625,0.125,0
2023,00-0034837,137,13.022058823529411,48,22,51,14,71,28,0.35036496350364965,0.16058394160583941,0.3722627737226277,0.10218978102189781,0.5182481751824818,0.20437956204379562,0.15671641791044777,0.1865671641791045,0.06716417910447761,0.29850746268656714,0.291044776119403,0
2023,00-0034838,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2023,00-0034844,61,2.2333333333333334,6,43,28,4,28,6,0.09836065573770492,0.7049180327868853,0.45901639344262296,0.06557377049180328,0.45901639344262296,0.09836065573770492,0.08620689655172414,0.034482758620689655,0.3620689655172414,0.3793103448275862,0.13793103448275862,0
2023,00-0034854,23,14.347826086956522,8,0,10,5,8,0,0.34782608695652173,0,0.43478260869565216,0.21739130434782608,0.34782608695652173,0,0.30434782608695654,0.34782608695652173,0,0.08695652173913043,0.2608695652173913,0
2023,00-0034928,3,-0.6666666666666666,0,3,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0
2023,00-0034959,14,1.6923076923076923,0,10,6,3,4,6,0,0.7142857142857143,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.5714285714285714,0,0
