position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
TE,role_fppg_trend,0.0014525226643882228,0.007564157984550531,0.0023849820108392907,0.00540520297890205,2024
TE,prior_rec_td_rate,0.0014042615366872309,4.230434954063019e-4,1.0451765859261404e-4,6.187095064672521e-4,2024
TE,tw_combine_missing_24,0.0011331006806890957,-6.785126712998135e-4,-2.5897986292718517e-4,4.475390200616343e-6,2024
TE,team_spread_line,1.1543546898303465e-4,9.186838305493458e-4,2.9856849735743207e-4,-3.340749095187556e-4,2024
TE,is_home,-0.0014771929647932798,-0.0037842760080000204,-0.0011126165120242855,-4.882384735327057e-4,2024
TE,season_to_date_rec_td_rate,-0.0016333228819284489,7.74240503969755e-4,2.857975457265886e-4,6.289099230812889e-4,2024
TE,tw_college_missing_24,-0.001679866235994698,-2.1207171424701224e-4,5.041730753774232e-6,3.946443481135005e-4,2024
TE,roll3_rec_td_rate,-0.0020788756194569658,-0.0010147514845009198,-2.9079195898377524e-4,-0.001089534403787044,2024
TE,prior_yards_per_target,-0.0030086336702061325,-3.537520790842426e-4,7.728355767566697e-6,-4.924083238326826e-4,2024
TE,def_pass_epa_allowed_roll4,-0.0037494797347950026,-0.0017582767598298688,-5.515858614862923e-4,-0.002246130419527185,2024
TE,season_targets_prior,-0.004034547384783445,-0.0014337779001888744,-2.330444236802546e-4,2.911190768561574e-4,2024
TE,roll3_ngs_cushion,-0.009690826641310194,-0.0027388102165648576,-5.149924261161157e-4,-2.3680331464689028e-4,2024
TE,projected_td_points_232,-0.021480015966560018,0.013679679998619262,0.0032223102691037266,0.0018145657204609404,2024
QB,projected_opportunities_232,0.06922702333501718,0.01286921322269515,0.004179979561300673,0.0017628851107495864,2025
QB,roll3_pass_attempt_share,0.04415644193107523,-0.0039360276762507125,0.0012701615433357387,-0.0018508917065367763,2025
QB,roll3_ngs_time_to_throw,0.03566809278550961,0.004000877558746711,0.0019266229282596987,-2.3158264120400526e-4,2025
QB,talent_prior_fppg_24,0.026112834940560898,0.016045217396223777,0.0032113484494414126,0.003360913276697445,2025
QB,season_to_date_rush_ypc,0.025520077565186483,-0.002483035226475453,6.000333522979684e-4,-0.0016941030577778775,2025
QB,legacy_gap_vs_base_232,0.01436418144000573,0.0194937934054152,0.0027877764511974323,0.004145929105148216,2025
QB,projected_touch_opportunities_232,0.013504666392886536,-0.0020318516200055945,3.288414574009746e-4,7.35116730823863e-4,2025
QB,roll5_carries,0.010904570377679926,-0.003800366285382791,2.3627110428644146e-4,3.1575662557681294e-4,2025
QB,tw_draft_capital_log_24,0.00797082000253487,0.00127141900987926,7.330531687578615e-4,1.1271703337130863e-4,2025
QB,roll3_pass_attempts,0.0043149757238826565,-5.681740744852467e-5,1.8797971897640173e-4,1.846963450630549e-4,2025
QB,is_home,0.0021112111268847635,0.013005461172275487,0.0019147394376963407,-0.0014037810352217999,2025
QB,tw_draft_round_24,0.0019758123678400943,-0.002807206854105774,-5.656050050724855e-6,7.250535639554319e-5,2025
QB,prior_game_fppg,0.0019229495208093657,-0.0010585472490820536,7.882267032780868e-6,-1.9079026552903944e-4,2025
QB,opportunity_per_snap,0.0018150093928352244,-0.0010592982756284879,-8.20020886435439e-5,-8.611420120293219e-5,2025
QB,direct_gap_vs_base_232,0.0014800696395171897,0.007780555073706748,0.0012915038884345753,-0.002384068756808818,2025
QB,favorite_rush_interaction,0.0010528667521689055,-0.003268460890277917,-7.557048008196195e-5,5.801384956563016e-4,2025
QB,roll3_carry_share,0.00011211791916654334,0.02398965088749024,0.0022618162560861612,0.0011000687838392438,2025
QB,season_to_date_pass_ypa,-1.6598551923300656e-4,1.1813545359432946e-4,6.0957202324685156e-6,6.324833595679664e-5,2025
QB,season_carries_prior,-0.002685564399483198,0.0039364276802234715,3.1218716729475293e-4,1.0134217061826452e-4,2025
QB,roll3_ngs_aggressiveness,-0.007004464371565433,9.96644956826979e-5,-3.013257446531729e-4,4.3593392929401155e-5,2025
QB,season_to_date_fppg,-0.011812859037493517,0.050231375951015345,0.0022599000427263594,0.0026247374369321452,2025
QB,roll3_ngs_air_yards,-0.019543376531599616,0.002934057412323258,-5.070775028575003e-4,3.720707358914425e-4,2025
QB,expected_fppg_232,-0.02104303624300889,0.004617502720514348,-6.729410914571391e-4,-7.609544070595146e-4,2025
QB,roll3_rush_ypc,-0.02292125283059665,-0.002068851175058247,-0.0011167345447281225,-0.001645665954522905,2025
RB,talent_prior_fppg_24,0.05695056041995272,0.025525541341136677,0.004527873474962048,0.008031071709098891,2025
RB,roll3_offense_pct,0.04000096944963172,0.013914690674552569,0.0027621257929597576,0.004306052659428257,2025
RB,prior_game_fppg,0.03727140645797622,0.0033250127266300686,0.0011823957475254332,0.0042721024973111366,2025
RB,roll3_carry_share,0.02397761015692949,0.004138944514854674,0.0011359157602853036,0.001715393266869758,2025
