position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
WR,season_to_date_rush_ypc,4863,1,0.022706517555630558,0.058599411146076245,-0.004634397502115407,-0.005919486223769451,0.5,0.014480716669358297,0.08866019083056528,2024
WR,opp_avg_box_roll4_24,4717,0.9699773802179724,0.0050382595635776635,0.004111172822233678,-0.011212637464010584,-0.011898370115714157,0.5,0.00577908414560848,0.08850874659194713,2024
WR,season_to_date_pass_td_rate,4863,1,0.012303028899544101,0.014889115371096894,-0.006753479642217902,-0.007618050176011324,0.5,0.022107714060889922,0.08822986435011822,2024
WR,snap_trend,4863,1,0.03933911434651759,0.029567856841691196,6.880044075077267e-4,-0.0012022527739621782,0.5,0.035092335115056855,0.0877086017806802,2024
WR,prior_yards_per_carry,4863,1,0.03949591960660488,0.07629873158041237,-8.491766442114587e-4,-0.002804345573090344,0.5,0.003434878109752966,0.08712983625301253,2024
WR,response_adjustment_raw_24,4863,1,0.010987120267065097,0.021057659531701748,-0.006501570970442323,-0.00729270620750519,0.5,0.0073685595224130505,0.08673167177018277,2024
WR,expected_team_pass_rate,4863,1,0.05315143243508386,0.04619783496921711,0.0031177373544856338,6.401627902754117e-4,0.5,9.769415996117295e-4,0.08608946409473742,2024
WR,response_avg_pass_rushers_24,2476,0.5091507300020564,-0.0012788617238776946,-0.004251789482185713,-0.0077723582950740885,-0.007291076625166271,0.5,0.007291076625166271,0.08574808195272285,2024
WR,def_deep_pass_rate_roll4,4863,1,-0.0037791784823218884,-0.007592426809997412,-0.003051188267274321,-0.002988600986043715,0.5,0.03059789984345088,0.08551671159862301,2024
WR,opp_man_rate_roll4_24,4863,1,-0.010891589417270607,-0.017859858071782288,-0.0036380617294091587,-0.0032520781887469315,0.5,0.016826373797154525,0.08521677348736671,2024
WR,opp_zone_rate_roll4_24,4863,1,0.010891589417270617,0.017859858071782288,0.003638061729409135,0.0032520781887469415,0.5,0.01682637379715453,0.08521677348736671,2024
WR,def_pass_epa_allowed_roll8,4863,1,0.0034147108436110587,0.00709578620293383,-0.003066366560644745,-0.0033545841054758497,0.5,0.014530976031686814,0.0840253376695444,2024
WR,def_sack_rate_roll4,4863,1,0.0020079552978020513,-0.001197187363039819,0.00430694535145861,0.004380611382427525,0.5,0.007544422850676105,0.08371019185539778,2024
WR,def_rush_success_allowed_roll4,4863,1,0.002952410130999222,0.01144561375415657,0.0023908959846942043,0.002342290548900291,0.5,0.013971372100377286,0.08354186551523479,2024
WR,team_skill_questionable_count,4863,1,0.004184255425763814,0.007729117409704145,-0.0014117766406642005,-0.0016717084557974988,0.5,0.018835706913083772,0.08345649912562345,2024
WR,legacy_gap_vs_base_232,4863,1,0.0012010604302900004,0.013274148975247008,0.0035833332813441864,0.0036674868177317705,0.5,0.0047663626553530345,0.08340834363570565,2024
WR,carry_trend,4863,1,-7.027716638835604e-4,0.024287981124688742,6.619105807646386e-4,7.224899641184942e-4,0.5,0.006537574824947004,0.08211650914001326,2024
WR,opp_avg_pass_rushers_roll4_24,4863,1,0.005414184702853807,0.0057374689166460125,-0.01569455915632415,-0.016574492161783038,0,0.014372595285133969,0.012405699089690655,2024
WR,opp_pressure_rate_roll4_24,4863,1,0.004708607778460835,7.187161946616687e-4,-0.010289971312436247,-0.010926063470227796,0,0.01018716122476198,0.008182721583201965,2024
