Feature,Gain,Cover,Frequency,position
games_played_prior,7.061035382762705e-4,0.002274409495290573,0.0043997485857950975,TE
roll3_ngs_air_yard_share,6.833942724327551e-4,0.0037074186207590905,0.0031426775612822125,TE
te_middle_matchup,6.411474326083196e-4,0.005892778426481724,0.0043997485857950975,TE
expected_team_pass_rate,6.109198961005035e-4,5.989518974551777e-4,0.003771213073538655,TE
roll3_carry_share,6.051122716752182e-4,0.006759845316757971,0.003771213073538655,TE
rb_rush_matchup,6.006531451063993e-4,0.005680583864650403,0.0031426775612822125,TE
wr_redzone_matchup,5.716376123545073e-4,0.0015435386650151373,0.0056568196103079825,TE
opp_pos_residual_roll4,5.600141020189041e-4,0.002460167835248221,0.0031426775612822125,TE
prior_rush_td_rate,5.530633195463014e-4,0.005719634300023983,0.0031426775612822125,TE
roll3_ypt,4.073513174143228e-4,0.001191560633388883,0.00251414204902577,TE
roll3_team_carries,3.8301489821434577e-4,0.003114840943093091,0.003771213073538655,TE
def_qb_hit_rate_roll4,3.3146794105520024e-4,6.056689973220619e-4,0.0018856065367693275,TE
def_middle_epa_allowed_roll4,2.5876503688093e-4,1.8277344856540374e-4,0.0018856065367693275,TE
ngs_available,2.192358265267311e-4,0.0020769204835953893,0.001257071024512885,TE
underdog_points,6.776141862909126e-5,1.013282679206704e-4,6.285355122564425e-4,TE
practice_risk,6.1900763052901e-5,0.0011486198801739845,6.285355122564425e-4,TE
